Name,PlantForm,MaxAge,AgeAtMaturity,ShadeTolerance,FireTolerance,EffectiveDispersalDistance,MaxDispersalDistance,VegetativeReproductionProbability,MaxAgeForVegetativeReproduction,RMax,KMax,MaxHeight,LeafHabit,FoliageType,MinDegreeDays,MinTemperature,DroughtTolerance,BrowsingTolerance,BrowsingToleranceValueAlpha,BrowsingToleranceValueBeta,GrowthModel,CrownShape,SaplingInitialBiomass,SuckerStressTolerance,HerbaceousForm,LifeCycleType,ThresholdGrowthReduction,MinYrs,MStress,MAge,MHeight,DryWetWeightRatioFoliage,SpecificFoliageArea,FoliageWeightFactor,FoliageWeightExponent,MinLightRequirement,Serotinous,GrazingTolerance,GrazingToleranceRank,WindthrowTolerance
grass,HERBACEOUS,10,,1,3,,,,,1.0,128,,HERBS,1,200,-99,0.33,3,,,LOGISTIC,2,,,GRASS,PERENNIAL,,,,,,,,,,,,,,3
abiealba,TREE,700,70,5,3,50,160,0,0,0.08,17.6,60,EVERGREEN,5,641,-6,0.23,5,,,LOGISTIC,6,,,,,,,,,,,,,,,,0.25,6,3
larideci,TREE,850,30,1,5,60,200,0,0,0.07,13.5,52,DECIDUOUS,2,323,-11,0.33,3,,,LOGISTIC,4,,,,,,,,,,,,,,,,1.5,2,3
piceabie,TREE,700,50,3,3,70,250,0,0,0.08,15.2,58,EVERGREEN,5,385,-99,0.15,2,,,LOGISTIC,5,,,,,,,,,,,,,,,,2,1,1
pinucemb,TREE,1050,70,3,4,30,-1,0,0,0.03,5.9,26,EVERGREEN,5,323,-11,0.23,4,,,LOGISTIC,5,,,,,,,,,,,,,,,,0.75,4,3
pinusilv,TREE,760,30,1,4,90,300,0,0,0.075,8.1,45,EVERGREEN,4,610,-99,0.37,3,,,LOGISTIC,4,,,,,,,,,,,,,,,,0.5,5,2
acerpseu,TREE,550,40,4,2,60,200,1,50,0.09,13.6,37,DECIDUOUS,3,898,-99,0.17,4,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
betupube,TREE,170,20,1,1,200,700,1,50,0.12,1.7,26,DECIDUOUS,1,498,-99,0.08,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,2
fagusilv,TREE,430,60,5,1,30,-1,1,50,0.1,28,45,DECIDUOUS,3,723,-4,0.25,3,,,LOGISTIC,3,,,,,,,,,,,,,,,,0.75,4,2
popunigr,TREE,280,20,3,3,240,800,1,50,0.12,10.6,36,DECIDUOUS,2,662,-99,0.08,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,0.5,5,1
querpetr,TREE,860,60,2,3,30,-1,1,50,0.11,26.4,25,DECIDUOUS,3,785,-5,0.247,4,,,LOGISTIC,1,,,,,,,,,,,,,,,,0.75,4,3
querrobu,TREE,1060,60,2,3,30,-1,1,50,0.11,35.6,52,DECIDUOUS,3,1042,-17,0.165,4,,,LOGISTIC,1,,,,,,,,,,,,,,,,0.75,4,3
sorbaucu,TREE,110,10,2,2,30,-1,1,50,0.12,1.8,19,DECIDUOUS,1,498,-99,0.33,4,,,LOGISTIC,2,,,,,,,,,,,,,,,,1.00,3,3
alnuinca,TREE,150,20,2,2,30,100,1,50,0.12,4.9,22,DECIDUOUS,2,610,-99,0.08,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
alnuviri,TREE,100,20,2,1,30,100,1,50,0.09,0.035,4,DECIDUOUS,2,272,-99,0.17,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
poputrem,TREE,140,20,2,3,240,800,1,50,0.12,3.8,30,DECIDUOUS,2,610,-99,0.25,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,1
salicapr,TREE,170,20,3,2,430,1400,1,50,0.12,0.4,20,DECIDUOUS,1,610,-99,0.17,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
acercamp,TREE,170,40,3,2,60,200,1,50,0.08,1.5,23,DECIDUOUS,2,1062,-99,0.25,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
acerplat,TREE,380,40,3,2,60,200,1,50,0.08,9.8,32,DECIDUOUS,3,1042,-17,0.25,4,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
alnuglut,TREE,240,20,3,2,30,100,1,30,0.12,4.7,31,DECIDUOUS,2,898,-16,0.08,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
betupend,TREE,220,20,1,1,200,700,1,30,0.12,4.3,29,DECIDUOUS,1,610,-99,0.25,1,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,2
carpbetu,TREE,220,30,4,2,55,180,1,30,0.1,4.6,27,DECIDUOUS,3,898,-9,0.25,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
castsati,TREE,1510,50,3,4,30,-1,1,50,0.05,41,33,DECIDUOUS,3,1237,-99,0.33,1,,,LOGISTIC,1,,,,,,,,,,,,,,,,,,2
coryavel,TREE,70,10,3,2,30,-1,1,50,0.12,0.2,10,DECIDUOUS,3,898,-16,0.25,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
fraxexce,TREE,350,40,3,2,40,140,1,50,0.07,18,42,DECIDUOUS,2,980,-17,0.08,3,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
querpube,TREE,500,60,2,3,30,-1,1,50,0.07,2.4,25,DECIDUOUS,3,1011,-99,0.41,4,,,LOGISTIC,1,,,,,,,,,,,,,,,,0.75,4,3
salialba,TREE,170,20,3,2,430,1400,1,30,0.1,5.7,27,DECIDUOUS,1,1062,-99,0.08,2,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
sorbaria,TREE,180,10,2,2,30,-1,1,50,0.08,0.8,22,DECIDUOUS,2,898,-99,0.33,4,,,LOGISTIC,2,,,,,,,,,,,,,,,,1,3,3
tilicord,TREE,940,40,3,2,40,140,1,50,0.1,20,30,DECIDUOUS,3,1339,-19,0.33,2,,,LOGISTIC,3,,,,,,,,,,,,,,,,1,3,3
tiliplat,TREE,960,40,3,2,40,140,1,50,0.1,45,39,DECIDUOUS,3,1339,-99,0.25,2,,,LOGISTIC,3,,,,,,,,,,,,,,,,1,3,3
ulmuglab,TREE,460,50,4,3,110,360,1,50,0.09,19,43,DECIDUOUS,3,1062,-16,0.165,3,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
ilexaqui,TREE,300,15,4,3,30,-1,1,50,0.05,3.57,25,EVERGREEN,5,1250,-2,0.23,3,,,LOGISTIC,2,,,,,,,,,,,,,,,,,,3
